name,pick,xVORP,xVORP_impact,Peak Impact Rating,Immediate Impact Rating,ceiling_player,floor_player,ceiling_player_rating,floor_player_rating,year
Nikola Topić,12,0.500428297,-0.004719343,3.34,-0.06,LaMelo Ball,Killian Hayes,"{1.0: 1.4, 2.0: 3.3, 3.0: 1.4, 4.0: 1.0}","{1.0: -0.6, 2.0: -1.0, 3.0: -0.2, 4.0: -0.9}",2024
Reed Sheppard,3,0.881812758,0.337495746,5.88,4.22,Tyrese Haliburton,Davion Mitchell,"{1.0: 5.0, 2.0: 1.5, 3.0: 1.1, 4.0: 3.1, 5.0: 2.0, 6.0: 4.4}","{1.0: -0.3, 2.0: -0.4, 3.0: -0.9}",2024
Zaccharie Risacher,1,0.674546149,-0.178313618,4.5,-2.23,Brandon Ingram,Kevin Knox,"{1.0: 0.4, 2.0: 1.7, 3.0: 2.2, 4.0: 1.9, 5.0: -1.4, 6.0: 1.5, 7.0: 0.0, 8.0: 2.2}","{1.0: 0.0, 2.0: -0.1, 3.0: -0.1, 4.0: 0.1, 5.0: -0.4, 6.0: -2.0, 7.0: -0.4, 8.0: -0.1, 9.0: -0.2, 10.0: -0.7}",2024
Alexandre Sarr,2,0.468423653,0.227711833,3.12,2.85,Myles Turner,Georgios Papagiannis,"{1.0: 1.5, 2.0: 1.9, 3.0: 0.8, 4.0: 1.0, 5.0: 2.4, 6.0: 0.1, 7.0: 1.1, 8.0: 2.0, 9.0: 0.9}","{1.0: -0.1, 2.0: 0.0, 3.0: -0.2, 4.0: -0.1}",2024
Matas Buzelis,11,0.385093034,0.004573921,2.57,0.06,Brandon Ingram,Sekou Doumbouya,"{1.0: 0.4, 2.0: 1.7, 3.0: 2.2, 4.0: 1.9, 5.0: -1.4, 6.0: 1.5, 7.0: 0.0, 8.0: 2.2}","{1.0: -1.0, 2.0: 0.1, 3.0: -0.9}",2024
Stephon Castle,4,0.497879512,-0.091138636,3.32,-1.14,Shai Gilgeous-Alexander,Marquis Teague,"{1.0: 2.7, 2.0: 2.2, 3.0: 7.1, 4.0: 0.8, 5.0: 1.8, 6.0: 5.6}","{1.0: -0.6, 2.0: -0.2, 3.0: -0.4, 4.0: -0.1, 5.0: -0.4}",2024
Donovan Clingan,7,0.991494328,0.543357363,6.61,6.79,Anthony Davis,A.J. Hammons,"{1.0: 4.0, 2.0: 5.4, 3.0: 2.1, 4.0: 5.9, 5.0: 5.3, 6.0: 5.4, 7.0: 6.7, 8.0: 4.9, 9.0: 4.0, 10.0: 2.0, 11.0: 3.2, 12.0: 2.0}",{1.0: -0.2},2024
Ron Holland,5,0.494072643,0.028515209,3.29,0.36,LaMelo Ball,Josh Jackson,"{1.0: 1.4, 2.0: 3.3, 3.0: 1.4, 4.0: 1.0}","{1.0: -1.1, 2.0: -0.3, 3.0: -0.4, 4.0: -1.3, 5.0: 0.2, 6.0: -0.5, 7.0: -0.2}",2024
Dalton Knecht,17,0.129551769,-0.14127035,0.86,-1.77,Buddy Hield,Cleanthony Early,"{1.0: 1.5, 2.0: 2.7, 3.0: 0.9, 4.0: 0.6, 5.0: 0.2, 6.0: 1.7, 7.0: 0.5, 8.0: 2.4, 9.0: 1.3, 10.0: -0.2, 11.0: 0.0, 12.0: 0.2, 13.0: 0.7, 14.0: 0.3}","{1.0: -0.5, 2.0: -0.3}",2024
Rob Dillingham,8,0.555051322,-0.113200595,3.7,-1.42,Trae Young,Elie Okobo,"{1.0: 2.2, 2.0: 3.1, 3.0: 0.9, 4.0: 3.0, 5.0: 4.8, 6.0: 3.4}","{1.0: 0.0, 2.0: -0.9}",2024
Devin Carter,13,0.525027613,0.160158122,3.5,2,Donovan Mitchell,Nick Johnson,"{1.0: 2.2, 2.0: 2.3, 3.0: 3.6, 4.0: 5.0, 5.0: 3.9, 6.0: 2.2, 7.0: 2.8}",{1.0: -0.3},2024
Cody Williams,10,0.200006528,-0.260431022,1.33,-3.26,Glenn Robinson III,Melvin Frazier,"{1.0: 0.1, 2.0: 0.0, 3.0: -0.2, 4.0: 0.1, 5.0: -0.1, 6.0: -0.1, 7.0: -0.2, 8.0: 0.1, 9.0: 0.6, 10.0: 0.1, 11.0: -0.2}","{1.0: 0.0, 2.0: -0.1, 3.0: -0.4}",2024
Tidjane Salaun,6,0.541083722,-0.071403057,3.61,-0.89,Usman Garuba,Sekou Doumbouya,"{1.0: 0.1, 2.0: 0.2, 3.0: 0.0}","{1.0: -1.0, 2.0: 0.1, 3.0: -0.9}",2024
Jared McCain,16,0.408447285,-0.153675506,2.72,-1.92,Jamal Murray,Doron Lamb,"{1.0: 1.7, 2.0: 1.1, 3.0: 2.9, 4.0: 1.5, 5.0: 1.8, 6.0: 0.0, 7.0: 1.6}","{1.0: -0.3, 2.0: -0.5, 3.0: -0.5, 4.0: -0.8}",2024
Ja'Kobe Walter,19,0.426177801,-0.131039154,2.84,-1.64,Bradley Beal,Romeo Langford,"{1.0: 1.6, 2.0: 1.0, 3.0: 1.0, 4.0: 2.9, 5.0: 3.5, 6.0: 2.5, 7.0: 1.1, 8.0: 3.7, 9.0: 1.0, 10.0: 1.1, 11.0: 1.0, 12.0: 3.1}","{1.0: 0.1, 2.0: 0.2, 3.0: 0.0, 4.0: -0.2, 5.0: -0.5, 6.0: -0.3}",2024
Tristan da Silva,18,0.132679242,-0.05040014,0.88,-0.63,Saddiq Bey,Isaiah Livers,"{1.0: 0.9, 2.0: 0.4, 3.0: 0.1, 4.0: 0.5, 5.0: 1.2, 6.0: 0.7}","{1.0: -0.1, 2.0: 0.0, 3.0: -0.5}",2024
